datetime,open,high,low,close,volume
2025-05-30 13:30:00,356.3598937988281,356.3598937988281,356.3598937988281,356.3598937988281,4539156
2025-05-30 13:31:00,355.989990234375,357.06988525390625,355.1499938964844,355.9511108398437,476004
2025-05-30 13:32:00,355.92059326171875,356.260009765625,355.6300048828125,355.67999267578125,87243
2025-05-30 13:33:00,356.2351989746094,356.75,355.9200134277344,356.42999267578125,569770
2025-05-30 13:34:00,356.472412109375,356.9800109863281,355.7601013183594,356.8500061035156,367650
2025-05-30 13:35:00,356.8179931640625,356.9599914550781,354.70001220703125,354.8345031738281,565250
2025-05-30 13:36:00,354.7550048828125,355.2699890136719,354.260009765625,354.4783935546875,373567
2025-05-30 13:37:00,354.4888916015625,355.19989013671875,354.1801147460937,355.125,320192
2025-05-30 13:38:00,355.1000061035156,355.2200012207031,354.2200012207031,354.2699890136719,301053
2025-05-30 13:39:00,354.2699890136719,354.5,353.82000732421875,354.4180908203125,379744
2025-05-30 13:40:00,354.42999267578125,355.70001220703125,353.9601135253906,355.4786071777344,434872
2025-05-30 13:41:00,355.5400085449219,355.82000732421875,355.0,355.5,278221
2025-05-30 13:42:00,355.5340881347656,356.510009765625,355.3999938964844,356.2099914550781,414290
2025-05-30 13:43:00,356.130615234375,356.3299865722656,355.7001037597656,356.260009765625,225420
2025-05-30 13:44:00,356.2850036621094,356.4790954589844,355.9118957519531,356.32501220703125,194031
2025-05-30 13:45:00,356.297607421875,357.94989013671875,356.239990234375,357.9100036621094,480913
2025-05-30 13:46:00,357.9100036621094,358.4599914550781,357.0,357.3800048828125,571543
2025-05-30 13:47:00,357.3500061035156,357.46490478515625,356.5199890136719,357.239990234375,291504
2025-05-30 13:48:00,357.17999267578125,357.4800109863281,356.8575134277344,357.3793029785156,218484
2025-05-30 13:49:00,357.3900146484375,357.3900146484375,356.6600036621094,357.0,233793
2025-05-30 13:50:00,357.010009765625,357.185791015625,356.45001220703125,356.614990234375,222009
2025-05-30 13:51:00,356.5400085449219,356.6499938964844,356.1000061035156,356.1300048828125,233078
2025-05-30 13:52:00,356.0599975585937,356.07000732421875,355.5801086425781,356.0299987792969,257839
2025-05-30 13:53:00,355.9310913085937,356.819091796875,355.760009765625,356.70001220703125,277974
2025-05-30 13:54:00,356.635009765625,356.94049072265625,356.42999267578125,356.625,223639
2025-05-30 13:55:00,356.5799865722656,356.79998779296875,355.82000732421875,355.8599853515625,221266
2025-05-30 13:56:00,355.8500061035156,356.135009765625,355.5,356.135009765625,243790
2025-05-30 13:57:00,356.0483093261719,356.4800109863281,355.70001220703125,356.2099914550781,198348
